x y z
165.300260 352.625502 1.500000
-8.563016 96.843370 1.500000
204.072529 160.323751 1.500000
126.902837 115.320183 1.500000
-187.450750 73.777290 1.500000
275.377697 269.906073 1.500000
161.488154 156.718737 1.500000
175.669229 106.035554 1.500000
-169.544002 354.207059 1.500000
1.178751 311.825460 1.500000
-43.677487 320.956127 1.500000
246.887212 44.053028 1.500000
91.877575 370.986781 1.500000
195.986326 243.364434 1.500000
-5.223703 219.781707 1.500000
-120.181687 33.025139 1.500000
49.725603 369.024946 1.500000
-203.826409 229.289512 1.500000
194.845134 335.216521 1.500000
92.288149 272.354998 1.500000
158.816900 323.704077 1.500000
-52.241599 283.483944 1.500000
267.531361 374.749036 1.500000
231.801307 112.572505 1.500000
167.512983 103.301250 1.500000
-139.869123 295.896141 1.500000
8.163261 210.909320 1.500000
-220.249049 250.686790 1.500000
-156.415320 292.448127 1.500000
119.762312 232.785765 1.500000
147.020789 318.763717 1.500000
273.391253 143.762914 1.500000
-67.778429 348.689618 1.500000
-44.015686 70.170029 1.500000
10.022502 266.037095 1.500000
-136.035949 364.794298 1.500000
-171.298394 121.252961 1.500000
12.091681 149.550372 1.500000
-119.699605 142.986389 1.500000
111.458099 238.450191 1.500000
-14.818273 180.081572 1.500000
198.920128 62.632391 1.500000
132.663625 360.370804 1.500000
-74.048566 106.041655 1.500000
194.852703 231.394295 1.500000
186.864322 248.166561 1.500000
-37.161893 36.584935 1.500000
-94.736933 65.268414 1.500000
122.220394 392.658342 1.500000
-169.559153 272.702188 1.500000
-129.693822 29.746717 1.500000
-233.016189 322.703359 1.500000
173.491156 216.604119 1.500000
111.250450 51.306915 1.500000
138.379786 284.936216 1.500000
173.911179 212.093200 1.500000
2.110740 103.661897 1.500000
67.914103 364.167865 1.500000
-166.346820 136.544722 1.500000
-178.263462 133.275621 1.500000
108.934801 128.904970 1.500000
2.788021 317.526954 1.500000
56.536929 294.050795 1.500000
162.740519 363.620721 1.500000
94.987858 111.589503 1.500000
47.000858 320.640469 1.500000
56.206614 241.441834 1.500000
-82.723132 148.188645 1.500000
-222.278095 41.642956 1.500000
-7.492073 334.676467 1.500000
-128.491709 120.975808 1.500000
-28.036721 264.965250 1.500000
213.823132 228.268415 1.500000
-114.491305 33.103743 1.500000
-209.170704 400.514494 1.500000
-87.713433 326.408101 1.500000
-85.437389 204.880204 1.500000
106.465185 286.088841 1.500000
50.073800 201.208417 1.500000
172.257124 310.953132 1.500000
111.904501 77.277624 1.500000
-22.104169 196.708319 1.500000
188.517897 152.055032 1.500000
-148.745281 201.148155 1.500000
-229.016814 197.068878 1.500000
-195.249697 80.220631 1.500000
136.246010 391.061758 1.500000
1.437365 33.346946 1.500000
-159.193702 26.435804 1.500000
29.616110 169.897631 1.500000
-158.789347 260.709234 1.500000
126.162084 95.499905 1.500000
-0.158917 219.427813 1.500000
-43.541589 295.311278 1.500000
-81.927625 60.349116 1.500000
97.662571 399.267615 1.500000
-50.185039 150.435273 1.500000
-186.827577 276.063903 1.500000
-175.821200 67.351658 1.500000
270.259449 290.636100 1.500000
242.261658 342.457108 1.500000
128.237709 63.241613 1.500000
